source,target,type
6d30c907-82c7-45a7-a56b-4f091f6aa7e9,1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,ALLY
f28d4a08-d9a0-4f6c-91c7-cc4acc346cd4,ac75b839-5c59-47f5-a75d-313b87c61925,ALLY
b1fa175b-5425-4b12-9a39-e6adff1fd0a9,ac75b839-5c59-47f5-a75d-313b87c61925,ALLY
51db3028-6637-42ec-bf24-f249b12a2b40,ac75b839-5c59-47f5-a75d-313b87c61925,ALLY
1f9fc7ec-5861-4133-bc65-8ae5f73542c2,ac75b839-5c59-47f5-a75d-313b87c61925,ALLY
54a64fdf-6d5b-4c0b-b51b-b23407df8652,ac75b839-5c59-47f5-a75d-313b87c61925,ALLY
37c44eeb-b928-48aa-8453-8fba30c4248d,ac75b839-5c59-47f5-a75d-313b87c61925,ENEMY
281befb6-2fc6-4664-8af7-426fe519bf14,ac75b839-5c59-47f5-a75d-313b87c61925,ENEMY
5c0891e5-c8e2-4a20-90c5-f21ace376001,ac75b839-5c59-47f5-a75d-313b87c61925,ENEMY
a891aaf5-7aed-4216-aed8-f128c0f182ec,fd659c02-0ac4-4dce-be1d-750fa9eb48a0,ALLY
c52f0d2e-c478-4307-8f71-3f6d751f6b4e,fd659c02-0ac4-4dce-be1d-750fa9eb48a0,ALLY
d4817141-b660-4e4b-881f-7db1d7b6951a,fd659c02-0ac4-4dce-be1d-750fa9eb48a0,ENEMY
c1897cfa-41de-4a88-be0c-a5ba965bf839,8f6665e0-f8e6-4b0e-a557-16c11e00f951,ALLY
a891aaf5-7aed-4216-aed8-f128c0f182ec,8f6665e0-f8e6-4b0e-a557-16c11e00f951,ALLY
36d64e25-fb8b-4307-94c2-7f44b27a24e2,8f6665e0-f8e6-4b0e-a557-16c11e00f951,ENEMY
d4817141-b660-4e4b-881f-7db1d7b6951a,8f6665e0-f8e6-4b0e-a557-16c11e00f951,ENEMY
a0187414-b115-4109-a5d3-5988ea97e340,8a0544d0-b263-4db9-9662-9d9da38afde0,ALLY
